model,output,R2,MAE,MAPE
Ridge,alpha,0.982593092687435,0.010542860891938292,0.7532158442750232
Ridge,delta_alpha,0.0877521234437113,1.1626778571663516,16.259854226317174
Ridge,R_g,0.9981964888198791,0.030097889963988156,0.32166953107191354
Ridge,Delta_r,0.9485300087925419,0.07200266435884412,5.640414366683328
RandomForest,alpha,0.8220963373279767,0.03462166232674908,2.470871796575059
RandomForest,delta_alpha,0.5954078994907246,0.7509275272932259,10.517745247043798
RandomForest,R_g,0.91146162462764,0.20826038254920098,2.23512260345483
RandomForest,Delta_r,0.9491460007124455,0.06741225997057244,5.4877888529167755
MLP (plain),alpha,0.9871934015024282,0.00883822354756129,0.6319454811158143
MLP (plain),delta_alpha,0.9622193369569275,0.22286402585107343,3.019946418037092
MLP (plain),R_g,0.9909394135398465,0.06311096024630598,0.6698024208068997
MLP (plain),Delta_r,0.985529139326611,0.035129458369600776,2.8494328933257704
GP,alpha,0.9960047135838889,0.005095272478750325,0.3635203969395329
GP,delta_alpha,0.9185588231302569,0.3411124717108525,4.744699469165978
GP,R_g,0.9985678911191931,0.027044620243855302,0.2883744174401832
GP,Delta_r,0.9909388838544481,0.029040360335421015,2.361619634423009
PI-ETD-Net,alpha,0.9889702717585283,0.00805822448554393,0.579207184978111
PI-ETD-Net,delta_alpha,0.9580387757497493,0.23111713541546863,3.124319562278779
PI-ETD-Net,R_g,0.9924235748832783,0.06021772940895136,0.6408317636217895
PI-ETD-Net,Delta_r,0.9854703538301721,0.035773294476866134,2.8641388048311414
